Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Toronto, Ontario, Canada",Jose Aldo,Mark Hominick,1,0,94,71,5,1,1,0,Featherweight,U-DEC,5,5:00,UFC 129,2011-04-30 0:00:00,Jose Aldo
"Toronto, Ontario, Canada",Lyoto Machida,Randy Couture,1,0,15,5,0,0,0,0,Light Heavyweight,KO/TKO Kick,2,1:05,UFC 129,2011-04-30 0:00:00,Lyoto Machida
"Toronto, Ontario, Canada",Benson Henderson,Mark Bocek,0,0,56,11,3,4,0,2,Lightweight,U-DEC,3,5:00,UFC 129,2011-04-30 0:00:00,Benson Henderson
"Tokyo, Japan",Tito Ortiz,Yuki Kondo,0,1,16,2,2,0,2,0,Middleweight,SUB Neck Crank,1,1:52,UFC 29,2000-12-16 0:00:00,Tito Ortiz
"Tokyo, Japan",Pat Miletich,Kenichi Yamamoto,0,0,16,3,3,0,2,0,Welterweight,SUB Guillotine Choke,2,1:58,UFC 29,2000-12-16 0:00:00,Pat Miletich
"Tokyo, Japan",Evan Tanner,Lance Gibson,0,0,32,6,1,0,0,0,Middleweight,KO/TKO Punches,1,4:58,UFC 29,2000-12-16 0:00:00,Evan Tanner
"Tokyo, Japan",Chuck Liddell,Jeff Monson,0,0,42,6,0,1,0,0,Middleweight,U-DEC,3,5:00,UFC 29,2000-12-16 0:00:00,Chuck Liddell
"Tokyo, Japan",Tito Ortiz,Wanderlei Silva,1,0,20,10,4,0,0,0,Middleweight,U-DEC,5,5:00,UFC 25,2000-04-14 0:00:00,Tito Ortiz
"Tokyo, Japan",Murilo Bustamante,Yoji Anjo,0,0,11,0,4,0,1,0,Middleweight,SUB Arm Triangle,2,0:31,UFC 25,2000-04-14 0:00:00,Murilo Bustamante
"Tampa, Florida, USA",Joanna Jedrzejczyk,Michelle Waterson-Gomez,0,0,180,58,3,1,1,1,Women's Strawweight,U-DEC,5,5:00,UFC Fight Night,2019-10-12 0:00:00,Joanna Jedrzejczyk
